id,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,Amenity_TV,Amenity_Internet,Amenity_WirelessInternet,Amenity_Freeparkingonpremises,Amenity_Elevatorinbuilding,Amenity_Heating,Amenity_Family/kidfriendly,Amenity_Smokedetector,Amenity_Essentials,Amenity_CableTV,Amenity_Kitchen,Amenity_Petsallowed,Amenity_Gym,Amenity_Petsliveonthisproperty,Amenity_Cat(s),Amenity_Suitableforevents,Amenity_Washer,Amenity_Firstaidkit,Amenity_Shampoo,Amenity_24-hourcheck-in,Amenity_Hangers,Amenity_Hairdryer,Amenity_Iron,Amenity_Laptopfriendlyworkspace,Amenity_Privatelivingroom,Amenity_Privateentrance,Amenity_Dryer,Amenity_Carbonmonoxidedetector,Amenity_Lockonbedroomdoor,Amenity_Smokingallowed,Amenity_Breakfast,Amenity_Safetycard,Amenity_Dog(s),Amenity_Fireextinguisher,Amenity_Buzzer/wirelessintercom,Amenity_Hottub,Amenity_Indoorfireplace,Amenity_Otherpet(s),Amenity_Wheelchairaccessible,Amenity_SelfCheck-In,Amenity_Smartlock,Amenity_Keypad,Amenity_Lockbox,Amenity_Airconditioning,Amenity_DoormanEntry,Amenity_Doorman,Amenity_Pool,Amenity_Freeparkingonstreet,Amenity_Paidparkingoffpremises,house_rules_allow,house_rules_ani,house_rules_apart,house_rules_check,house_rules_clean,house_rules_flat,house_rules_guest,house_rules_home,house_rules_hous,house_rules_leav,house_rules_loud,house_rules_make,house_rules_music,house_rules_neighbour,house_rules_nois,house_rules_onli,house_rules_parti,house_rules_pet,house_rules_pleas,house_rules_respect,house_rules_shoe,house_rules_smoke,house_rules_stay,house_rules_thi,house_rules_time,house_rules_treat,house_rules_use,experiences_offered,host_location,host_response_time,host_is_superhost,neighbourhood_cleansed,zipcode,property_type,room_type,bed_type,first_review,last_review,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,host_response_rate_binned,host_verification_binned,perceived_quality
10085459,0.2,0.125,0.2,0.06666666666666668,0.0954679984780167,0.1993987975951904,0.06801007556675064,0.06666666666666668,0.075,0.0223463687150838,0.12181640836674976,0.6666666666666666,0.35,0.2333333333333333,0.05753424657534247,0.06051873198847262,0.0,1.68,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4624887292789729,0.0,0.8866251605328606,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6179409,0.06666666666666668,0.125,0.1,0.0,0.06129172638020874,0.09919839679358718,0.030226700251889168,0.0,0.0,0.0,0.0021675517502980387,0.7666666666666667,0.8333333333333334,0.8888888888888888,0.9726027397260274,0.06051873198847262,0.0,1.18,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4415127182779817,0.2340023735849629,0.0,0.0,0.0,0.0,0.0,0.0,0.4333005298173717,0.2209315995156899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19362567620618207,0.6364214213807217,0.0,0.0,0.1295532319206925,0.0,0.0,0.2333283522659828,0.0,0.0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1
13672765,0.06666666666666668,0.125,0.1,0.0,0.08407590777874738,0.09919839679358718,0.017632241813602016,0.0,0.0,0.00558659217877095,0.12181640836674976,0.4,0.2,0.13333333333333333,0.03287671232876712,0.04610951008645533,0.0,2.46,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8429791470636634,0.0,0.0,0.0,0.0,0.5379462404514215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,2,0,1,2,2,0,2,0,0,0,0,1
11665612,0.2,0.125,0.1,0.2,0.0954679984780167,0.249498997995992,0.04282115869017632,0.0,0.06,0.00558659217877095,0.006394277663379213,0.26666666666666666,0.55,0.6666666666666666,0.8767123287671232,0.011527377521613832,0.0,0.76,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.35816951353116205,0.0,0.0,0.0,0.0,0.2654304062170885,0.0,0.0,0.0,0.0,0.3842068743017798,0.0,0.3052959858546139,0.0,0.3903528296016299,0.0,0.0,0.19482430661241104,0.267820507481029,0.0,0.198297211017718,0.0,0.0,0.0,0.3531868926833537,0.3664946199870716,0,1,1,0,0,0,2,0,0,3,3,0,1,0,0,0,0,1
4036141,0.4,0.1875,0.4,0.4,0.3119177217641336,0.249498997995992,0.11838790931989925,0.4,0.25,0.00558659217877095,0.003251327625447057,0.36666666666666653,0.4666666666666667,0.5,0.7397260273972602,0.04034582132564842,0.0,0.6,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5592165916472613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5488150973056739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2072724469761248,0.2452447828133545,0.16121728927942475,0.2216217112756342,0.3090654883869001,0.16409112080427662,0.0,0.0,0.0,0.2922624719548525,0.0,1,1,1,0,0,1,1,0,0,4,4,0,0,0,0,0,2,1
15171787,0.2,0.125,0.1,0.0,0.10116404382765136,0.1993987975951904,0.06801007556675064,0.0,0.0,0.0,0.0031429500379321555,0.0,0.16666666666666666,0.4,0.09863013698630137,0.023054755043227664,0.0014084507042253524,2.24,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.461570008838858,0.0,0.0,0.0,0.0,0.0,0.0,0.5308942291039971,0.5368458647147893,0.0,0.0,0.0,0.0,0.4657262736664094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,5,5,1,0,0,0,0,0,0
15158420,0.3333333333333333,0.125,0.3,0.2,0.1660989608134864,0.08917835671342686,0.09319899244332494,0.06666666666666668,0.15,0.0,0.0021675517502980387,0.3,0.5166666666666667,0.6333333333333333,0.15616438356164386,0.05763688760806916,0.0,4.21,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3394438305968863,0.271980422415584,0.0,0.0,0.3465079182947831,0.0,0.0,0.0,0.3128297634695562,0.0,0.0,0.7699833357540604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,6,5,0,0,0,0,0,0,1
11093420,0.06666666666666668,0.125,0.1,0.0,0.049899635680939435,0.09919839679358718,0.012594458438287154,0.0,0.05,0.0,0.12181640836674976,0.8333333333333334,0.9166666666666666,0.9444444444444444,0.9863013698630136,0.008645533141210375,0.0014084507042253524,0.46,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2476003744261817,0.0,0.0,0.0,0.1815743047182249,0.2177847419071799,0.4536921788597168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5330977489659032,0.0,0.2554969707010382,0.1356501643171098,0.0,0.2260325176685471,0.0,0.4832126461210347,0.0,0,1,1,0,0,0,3,1,2,7,6,0,0,0,0,0,2,1
754867,0.3333333333333333,0.125,0.2,0.2,0.11141692545699372,0.249498997995992,0.23173803526448364,0.2,0.05,0.01675977653631285,0.12181640836674976,0.36666666666666653,0.5166666666666667,0.4666666666666667,0.7178082191780822,0.04322766570605188,0.0014084507042253524,0.38,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8311190979647788,0.0,0.0,0.0,0.5560944569029731,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,2,0,0,0,8,7,0,0,0,0,0,2,0
13955343,0.2,0.25,0.1,0.0,0.0954679984780167,0.249498997995992,0.05541561712846348,0.0,0.0,0.00558659217877095,0.0009753982876341172,0.06666666666666668,0.5333333333333333,0.6888888888888889,0.1726027397260274,0.002881844380403458,0.0,0.67,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516017768365561,0.0,0.5481092304890329,0.0,0.0,0.0,0.4948368330893238,0.0,0.0,0.0,0.0,0.0,0.4340949697956373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,9,8,0,0,0,0,1,0,1
