id,experiences_offered,host_name,host_since,host_location,host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,zipcode,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,host_response_rate_binned,host_verification_binned,perceived_quality
10085459,none,Paolo & Lia,2014-05-04,inlondon,within a few hours,f,t,t,Kingston upon Thames,KT1,f,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,85.0,200.0,30.0,2,15.0,5,1125,2 weeks ago,20,21,21,21,24,2016-01-03,2017-02-18,10.0,9.0,10.0,10.0,9.0,10.0,f,strict,f,f,1,1.68,Very Good,MoreThan4,Bad
14527936,none,Layla,2016-08-14,notinlondon,within an hour,f,t,f,Kingston upon Thames,KT2,f,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,30.0,99.0,12.0,1,18.0,2,1125,yesterday,27,53,83,354,6,2016-08-24,2017-02-18,10.0,10.0,10.0,10.0,10.0,9.0,t,moderate,f,f,1,0.93,Very Good,LowerThan4,Good
6179409,none,Charlie And Lee,2015-04-27,notinlondon,within an hour,t,t,t,Kingston upon Thames,KT2,t,House,Private room,2,1.0,1.0,1.0,Real Bed,55.0,100.0,15.0,1,0.0,1,21,today,23,50,80,355,24,2015-07-07,2017-01-29,10.0,10.0,10.0,10.0,10.0,10.0,t,moderate,f,f,1,1.18,Very Good,Equals4,Good
9851854,none,Victoria,2015-12-07,inlondon,within a few hours,f,t,t,Kingston upon Thames,KT1,f,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,29.0,170.0,18.0,1,0.0,3,1125,2 days ago,4,20,50,137,22,2016-01-02,2017-03-01,10.0,10.0,10.0,10.0,9.0,10.0,f,strict,f,f,1,1.54,Very Good,Equals4,Good
13131313,none,Simon,2016-05-21,notinlondon,within a day,f,t,f,Kingston upon Thames,KT2,f,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,75.0,500.0,30.0,3,20.0,1,1125,2 days ago,12,26,42,107,14,2016-07-18,2017-02-14,9.0,8.0,10.0,10.0,9.0,9.0,f,flexible,f,f,1,1.83,Very Good,LowerThan4,Bad
13672765,none,Kerri,2016-04-23,notinlondon,within an hour,t,t,t,Kingston upon Thames,KT1,t,Bungalow,Entire home/apt,2,1.0,1.0,1.0,Pull-out Sofa,75.0,100.0,10.0,1,0.0,2,1125,a week ago,12,12,12,12,19,2016-07-16,2017-02-20,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,f,f,1,2.46,Very Good,MoreThan4,Good
11665612,none,Samantha,2016-03-07,notinlondon,within an hour,f,t,t,Kingston upon Thames,KT1,t,Bungalow,Entire home/apt,4,1.0,1.0,4.0,Real Bed,85.0,250.0,20.0,1,12.0,2,60,4 months ago,8,33,60,320,7,2016-06-03,2016-10-18,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,1,0.76,Very Good,MoreThan4,Good
4036141,family,Helen,2014-09-04,notinlondon,within an hour,f,t,f,Kingston upon Thames,KT2,t,House,Entire home/apt,7,1.5,4.0,7.0,Real Bed,275.0,250.0,50.0,7,50.0,2,31,4 weeks ago,11,28,45,270,17,2014-11-03,2017-02-12,10.0,10.0,10.0,10.0,10.0,9.0,f,strict,f,f,1,0.6,Very Good,LowerThan4,Good
15171787,none,Lucia,2016-07-01,inlondon,within an hour,f,t,t,Kingston upon Thames,KT2,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,90.0,200.0,30.0,1,0.0,1,30,a week ago,0,10,36,36,11,2016-10-10,2017-02-26,10.0,9.0,10.0,10.0,10.0,9.0,t,strict,f,f,2,2.24,Very Good,MoreThan4,Bad
15172609,none,David,2016-07-10,notinlondon,within a few hours,f,t,t,Kingston upon Thames,KT3,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,60.0,300.0,15.0,1,0.0,3,20,2 weeks ago,20,37,63,150,6,2016-09-29,2017-01-09,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,f,f,1,1.14,Very Good,MoreThan4,Good
15158420,none,Amber,2016-05-19,inlondon,within an hour,f,t,f,Kingston upon Thames,KT1,t,Apartment,Entire home/apt,6,1.0,3.0,4.0,Real Bed,147.0,90.0,40.0,2,30.0,1,21,2 weeks ago,9,31,57,57,23,2016-09-23,2017-02-26,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,f,f,1,4.21,Very Good,MoreThan4,Good
14372315,none,Pran,2013-11-29,inlondon,within an hour,f,t,t,Kingston upon Thames,KT1,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,79.0,200.0,20.0,1,0.0,2,1125,today,4,34,64,302,10,2016-10-09,2017-02-17,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,f,f,1,2.03,Very Good,Equals4,Good
11093420,none,Roz,2015-12-29,notinlondon,within an hour,f,t,f,Kingston upon Thames,KT1,t,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Futon,45.0,100.0,8.0,1,10.0,1,1125,3 months ago,25,55,85,360,6,2016-02-09,2016-09-25,10.0,10.0,10.0,10.0,9.0,10.0,f,strict,f,f,2,0.46,Very Good,LowerThan4,Good
754867,none,Martin,2012-02-22,notinlondon,within a few hours,f,t,f,Kingston upon Thames,KT6,f,Apartment,Entire home/apt,6,1.0,2.0,4.0,Real Bed,99.0,250.0,95.0,4,10.0,4,1125,3 days ago,11,31,42,262,18,2013-04-22,2016-10-20,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,f,f,2,0.38,Very Good,LowerThan4,Bad
10820812,none,Barry,2015-06-07,notinlondon,within a few hours,f,t,t,Kingston upon Thames,KT5,f,House,Entire home/apt,8,3.5,4.0,4.0,Real Bed,250.0,100.0,60.0,8,50.0,5,365,a week ago,15,15,39,287,9,2016-07-18,2017-02-13,10.0,10.0,10.0,10.0,10.0,9.0,f,strict,f,f,2,1.17,Very Good,Equals4,Good
13304296,none,Inas,2016-04-30,notinlondon,within an hour,f,t,f,Kingston upon Thames,KT1,f,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,99.0,150.0,15.0,1,0.0,1,1125,yesterday,24,54,84,352,16,2016-06-23,2017-02-03,9.0,9.0,9.0,9.0,9.0,9.0,f,flexible,f,f,2,1.88,Very Good,LowerThan4,Bad
13955343,none,Michelle,2013-08-14,inlondon,within a few hours,f,t,t,Kingston upon Thames,KT2,f,Apartment,Entire home/apt,4,2.0,1.0,1.0,Real Bed,85.0,250.0,25.0,1,0.0,2,10,2 months ago,2,32,62,63,4,2016-09-08,2017-01-21,10.0,10.0,10.0,10.0,8.0,10.0,f,strict,f,f,1,0.67,Good,MoreThan4,Good
7043527,none,Marianne,2015-06-28,inlondon,within an hour,f,t,t,Kingston upon Thames,KT2,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,58.0,300.0,25.0,1,0.0,1,1125,6 weeks ago,18,18,18,82,11,2015-07-06,2017-01-21,10.0,10.0,10.0,10.0,9.0,9.0,f,flexible,f,f,1,0.54,Very Good,MoreThan4,Bad
4356007,family,Lucy,2014-10-16,notinlondon,within an hour,t,t,t,Kingston upon Thames,KT2,t,House,Entire home/apt,10,4.0,5.0,7.0,Real Bed,325.0,150.0,80.0,8,20.0,2,1125,a week ago,3,11,21,73,30,2015-04-12,2017-02-27,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,f,f,2,1.3,Very Good,MoreThan4,Good
1231996,business,James,2010-06-24,notinlondon,within an hour,t,t,t,Kingston upon Thames,KT1,t,House,Private room,3,1.0,1.0,1.0,Real Bed,50.0,100.0,10.0,2,15.0,1,21,2 weeks ago,16,38,68,315,76,2013-06-17,2017-02-15,10.0,10.0,10.0,10.0,9.0,9.0,f,moderate,t,t,1,1.68,Very Good,Equals4,Good
15626548,none,Fiona,2016-05-21,inlondon,within a day,f,t,t,Kingston upon Thames,KT2,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,74.0,180.0,25.0,2,12.0,2,49,3 weeks ago,2,2,22,22,4,2016-12-19,2017-01-25,10.0,10.0,10.0,10.0,9.0,10.0,f,strict,f,f,1,1.58,Very Good,MoreThan4,Bad
3697446,none,Kevin,2014-07-23,notinlondon,within an hour,f,t,t,Kingston upon Thames,KT2,t,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,94.0,100.0,25.0,1,0.0,3,1125,today,18,37,49,243,64,2014-10-08,2017-02-05,10.0,9.0,9.0,10.0,10.0,9.0,f,strict,f,f,1,2.18,Very Good,Equals4,Good
4458068,family,Ryan,2014-10-29,inlondon,within an hour,f,t,t,Kingston upon Thames,KT2,t,House,Entire home/apt,11,3.5,5.0,6.0,Real Bed,290.0,300.0,70.0,6,20.0,2,1125,today,3,18,24,68,8,2015-07-25,2016-08-22,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,f,f,1,0.41,Very Good,Equals4,Good
8084116,none,Abby,2015-08-25,inlondon,within a day,f,t,t,Kingston upon Thames,KT1,f,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,115.0,350.0,20.0,1,0.0,1,1125,6 weeks ago,27,57,87,304,4,2015-09-21,2016-06-25,10.0,6.0,6.0,7.0,9.0,8.0,f,moderate,f,f,1,0.23,Very Good,MoreThan4,Bad
14689006,none,Helen,2013-04-02,notinlondon,within a day,f,t,t,Kingston upon Thames,KT3,t,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,71.0,158.0,30.0,1,0.0,3,31,3 weeks ago,11,14,39,39,3,2016-12-12,2017-02-13,10.0,10.0,10.0,10.0,9.0,10.0,f,flexible,f,f,1,1.08,Good,MoreThan4,Good
14378364,none,Dilip,2015-09-26,inlondon,within a few hours,f,t,t,Croydon,CR0,f,House,Entire home/apt,7,1.0,4.0,4.0,Real Bed,135.0,150.0,40.0,1,0.0,1,1125,2 months ago,29,54,82,351,9,2016-10-14,2017-01-13,10.0,10.0,10.0,10.0,9.0,10.0,f,flexible,f,f,1,1.89,Very Good,MoreThan4,Good
13273922,none,Sylvie,2016-05-12,notinlondon,within an hour,f,t,f,Croydon,CR0,t,Apartment,Private room,2,1.0,1.0,1.0,Futon,49.0,250.0,5.0,1,20.0,1,28,4 days ago,29,29,29,29,6,2016-09-15,2017-02-24,10.0,10.0,10.0,10.0,9.0,10.0,t,moderate,f,f,1,1.05,Very Good,LowerThan4,Good
10991861,none,Richard,2013-11-25,notinlondon,within a day,f,t,t,Croydon,CR0,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,51.0,150.0,20.0,2,10.0,2,10,4 days ago,18,48,78,168,11,2016-03-23,2016-10-30,9.0,8.0,9.0,9.0,9.0,9.0,f,strict,f,f,2,0.95,Good,Equals4,Bad
12174586,none,Louisa,2013-05-17,inlondon,within a few hours,f,t,t,Croydon,CR7,f,House,Private room,1,1.0,1.0,1.0,Real Bed,25.0,100.0,15.0,1,0.0,2,1125,4 weeks ago,10,10,22,227,7,2016-07-13,2016-12-21,10.0,10.0,10.0,9.0,8.0,10.0,f,moderate,f,f,1,0.89,Very Good,MoreThan4,Bad
6010752,romantic,Miriam,2015-04-14,inlondon,within an hour,f,t,t,Croydon,SE25,t,Apartment,Entire home/apt,6,1.0,3.0,5.0,Real Bed,107.0,100.0,28.0,6,15.0,1,180,today,20,35,65,333,44,2015-04-26,2017-02-26,9.0,9.0,10.0,10.0,9.0,9.0,t,flexible,f,f,1,1.94,Very Good,Equals4,Bad
11117091,none,Sue,2011-05-31,notinlondon,within an hour,f,t,f,Croydon,CR7,t,House,Private room,2,1.5,1.0,2.0,Real Bed,19.0,100.0,10.0,1,10.0,1,21,2 days ago,20,34,48,100,35,2016-02-24,2017-02-24,9.0,9.0,9.0,10.0,8.0,9.0,f,strict,f,f,5,2.79,Very Good,Equals4,Bad
12825208,none,Gary,2015-04-05,inlondon,within a few hours,f,t,t,Croydon,CR0,t,Apartment,Private room,1,1.0,0.0,1.0,Real Bed,27.0,150.0,30.0,1,0.0,7,1125,4 days ago,0,0,6,196,8,2016-07-30,2017-02-17,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,f,f,11,1.1,Very Good,MoreThan4,Good
12893666,none,Kerry,2015-08-07,inlondon,within an hour,t,t,t,Croydon,SE19,t,Cabin,Entire home/apt,3,1.0,0.0,2.0,Real Bed,42.0,100.0,20.0,1,0.0,1,1125,2 weeks ago,3,6,16,16,44,2016-05-16,2017-02-26,10.0,10.0,10.0,10.0,9.0,10.0,t,strict,f,f,2,4.51,Very Good,MoreThan4,Good
4742500,none,Cristina,2014-12-03,inlondon,within a few hours,f,t,t,Croydon,SW16,t,House,Entire home/apt,6,2.5,3.0,4.0,Real Bed,180.0,258.0,86.0,6,43.0,2,1125,3 weeks ago,2,32,62,337,11,2015-04-27,2016-06-29,9.0,9.0,9.0,10.0,9.0,9.0,f,moderate,f,f,1,0.49,Very Good,Equals4,Good
9265497,none,Doreen,2011-07-26,inlondon,within a few hours,f,t,t,Croydon,CR0,t,Apartment,Entire home/apt,8,2.0,1.0,2.0,Real Bed,75.0,200.0,20.0,6,10.0,3,1125,a week ago,0,0,0,62,33,2016-01-02,2017-02-27,9.0,9.0,9.0,9.0,8.0,9.0,f,strict,f,f,4,2.31,Very Good,MoreThan4,Bad
7739250,none,Camilla,2014-10-02,inlondon,within a few hours,f,t,f,Croydon,SW16,t,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,135.0,400.0,40.0,1,0.0,2,1125,5 days ago,14,27,51,242,17,2015-08-31,2016-12-29,10.0,10.0,10.0,10.0,8.0,9.0,f,moderate,f,f,1,0.92,Very Good,LowerThan4,Good
12476803,none,Naila,2016-04-17,notinlondon,within a few hours,f,t,t,Croydon,CR0,t,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,130.0,300.0,49.0,4,0.0,3,1125,4 days ago,0,0,13,13,6,2016-07-06,2017-01-13,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,f,f,3,0.74,Very Good,MoreThan4,Bad
6587893,none,Gary,2015-04-05,inlondon,within a few hours,f,t,t,Croydon,CR2,t,Apartment,Entire home/apt,6,1.0,2.0,2.0,Real Bed,60.0,250.0,50.0,2,5.0,5,1125,today,4,22,22,176,31,2015-06-20,2017-02-20,10.0,10.0,10.0,10.0,9.0,10.0,f,strict,f,f,11,1.49,Very Good,MoreThan4,Good
6193628,none,Ola,2015-04-28,notinlondon,within a few hours,f,t,t,Croydon,CR0,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,75.0,180.0,29.0,2,20.0,4,1125,2 weeks ago,7,7,7,271,20,2015-05-20,2017-02-02,10.0,10.0,10.0,10.0,9.0,10.0,f,strict,f,f,1,0.92,Very Good,MoreThan4,Bad
