neighbourhood_cleansed,property_type,room_type,bed_type,price,cancellation_policy,host_response_rate_binned,predicted_quality
29,0,0,0,78.0,0,1,0
25,0,0,0,200.0,0,0,0
28,0,0,0,77.0,0,3,0
15,0,0,0,54.0,0,0,0
25,0,0,0,135.0,0,0,0
27,7,1,0,139.0,0,1,1
21,0,0,0,75.0,1,0,1
14,0,1,0,75.0,0,0,1
28,0,0,0,125.0,1,0,1
8,0,0,0,200.0,1,3,0
31,0,0,0,110.0,0,0,0
23,1,0,0,125.0,0,0,0
14,0,0,0,124.0,0,0,1
19,0,0,0,185.0,1,0,1
25,0,0,0,310.0,0,1,1
28,0,0,0,146.0,0,0,0
29,0,0,0,75.0,1,0,1
23,0,0,0,150.0,2,0,1
25,0,0,0,125.0,1,0,1
29,0,1,0,40.0,0,0,1
23,0,0,0,400.0,0,1,1
10,0,1,0,46.0,1,0,1
16,0,0,0,160.0,0,3,0
25,0,0,0,119.0,0,1,0
23,15,0,0,100.0,0,0,1
8,1,1,0,42.0,0,0,1
8,0,0,0,110.0,0,1,1
25,0,0,0,84.0,0,0,0
27,0,0,0,111.0,0,0,0
8,1,0,0,300.0,0,0,1
28,0,1,4,30.0,0,0,0
14,0,0,0,62.0,1,0,1
23,0,0,0,110.0,0,0,0
26,0,1,0,80.0,0,1,0
30,0,0,0,100.0,2,0,1
9,1,1,0,45.0,1,0,1
25,0,0,0,180.0,0,0,0
29,0,0,0,60.0,0,0,0
27,0,1,0,35.0,1,0,1
29,0,0,0,67.0,0,0,0
15,1,0,0,300.0,0,0,1
23,0,0,0,147.0,0,0,0
31,0,0,0,121.0,2,0,1
14,0,0,0,90.0,1,0,1
17,1,0,0,150.0,0,0,1
29,0,1,0,62.0,0,0,1
21,0,1,0,53.0,1,0,1
25,0,0,0,400.0,0,0,1
27,0,1,0,25.0,0,0,1
23,1,0,0,165.0,0,0,0
15,1,0,0,250.0,0,3,0
26,0,1,0,35.0,0,1,0
14,0,1,0,27.0,2,0,1
28,0,0,0,105.0,1,1,0
14,1,0,0,129.0,0,0,1
31,0,0,0,110.0,0,1,0
15,0,0,0,99.0,0,0,0
22,0,1,0,90.0,0,0,1
29,1,0,0,215.0,0,0,1
21,0,1,0,20.0,1,0,1
15,0,0,0,85.0,0,0,0
30,0,0,0,175.0,0,0,0
25,0,0,0,108.0,0,0,0
26,1,0,0,138.0,0,1,0
28,0,1,0,75.0,1,0,1
14,0,1,0,27.0,0,1,1
30,0,0,0,100.0,0,1,0
23,0,0,0,190.0,0,1,0
25,0,0,0,245.0,1,1,1
4,0,0,0,55.0,0,0,1
25,0,0,0,33.0,2,0,1
15,0,0,0,100.0,2,0,1
26,0,0,0,100.0,0,0,0
25,0,1,0,120.0,0,0,1
28,0,1,0,150.0,0,0,1
23,0,0,0,125.0,1,1,0
4,1,1,0,16.0,0,0,1
25,0,1,0,75.0,0,0,1
26,0,0,0,130.0,0,1,0
26,0,1,0,48.0,0,0,1
27,0,0,0,95.0,2,0,1
15,0,0,0,100.0,2,0,1
15,0,1,0,70.0,1,0,1
28,0,0,0,66.0,0,0,0
9,1,0,0,130.0,0,0,1
19,1,0,0,235.0,2,0,1
22,0,0,0,85.0,1,0,1
15,0,1,0,60.0,1,0,1
23,0,0,0,146.0,0,0,0
25,1,1,0,44.0,1,1,1
24,0,0,0,75.0,1,0,1
16,0,0,0,45.0,2,0,1
29,1,0,0,200.0,0,0,1
15,0,0,0,120.0,1,0,1
25,0,0,0,115.0,0,1,0
15,0,0,0,62.0,2,0,1
27,0,0,0,85.0,1,3,0
26,0,0,0,275.0,0,0,1
8,1,1,0,30.0,2,1,1
26,0,0,0,210.0,0,0,1
21,1,0,0,215.0,0,0,1
21,0,0,0,95.0,0,0,0
10,0,1,0,17.0,0,0,1
27,1,1,0,49.0,0,0,1
23,0,0,0,139.0,0,1,0
21,0,1,0,50.0,1,0,1
23,0,0,0,150.0,1,0,1
28,0,0,0,80.0,2,0,1
25,0,0,0,100.0,0,0,0
21,0,0,0,95.0,0,0,0
15,0,1,1,31.0,0,0,0
23,0,1,0,50.0,1,0,1
27,0,0,0,112.0,0,0,0
23,1,0,0,299.0,0,0,1
27,0,0,0,90.0,0,0,0
26,0,1,0,45.0,0,1,0
25,0,0,0,100.0,0,0,0
25,1,1,0,35.0,0,0,1
23,0,0,1,95.0,0,0,0
15,0,0,0,45.0,1,0,1
29,0,0,0,100.0,0,1,0
27,1,0,0,140.0,0,0,0
25,0,0,0,90.0,1,1,0
28,0,0,0,140.0,0,1,0
29,0,0,0,90.0,0,0,0
26,0,0,0,170.0,1,0,1
25,0,0,0,175.0,1,3,0
23,0,0,0,90.0,1,0,1
15,0,0,0,120.0,0,1,0
